/Volumes/FAT32_FORMA/Thesis/short_video/frames_with_edges/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 51 	f_index: 1094 	Manhattan norm: 4419458.0 	Per pixel: 19.1816753472
s_index: 51 	f_index: 1095 	Manhattan norm: 4394938.0 	Per pixel: 19.0752517361
s_index: 51 	f_index: 1096 	Manhattan norm: 4331826.0 	Per pixel: 18.801328125
s_index: 51 	f_index: 1097 	Manhattan norm: 4322059.0 	Per pixel: 18.7589366319
s_index: 51 	f_index: 1098 	Manhattan norm: 4342161.0 	Per pixel: 18.8461848958
s_index: 51 	f_index: 1099 	Manhattan norm: 4357118.0 	Per pixel: 18.9111024306
s_index: 51 	f_index: 1100 	Manhattan norm: 4429886.0 	Per pixel: 19.2269357639
s_index: 51 	f_index: 1101 	Manhattan norm: 4444999.0 	Per pixel: 19.2925303819
s_index: 51 	f_index: 1102 	Manhattan norm: 4463223.0 	Per pixel: 19.3716276042
s_index: 51 	f_index: 1103 	Manhattan norm: 4486131.0 	Per pixel: 19.4710546875
s_index: 51 	f_index: 1104 	Manhattan norm: 4461839.0 	Per pixel: 19.3656206597
s_index: 51 	f_index: 1105 	Manhattan norm: 4510346.0 	Per pixel: 19.5761545139
s_index: 51 	f_index: 1106 	Manhattan norm: 4411423.0 	Per pixel: 19.1468012153
s_index: 51 	f_index: 1107 	Manhattan norm: 4470868.0 	Per pixel: 19.4048090278
s_index: 51 	f_index: 1108 	Manhattan norm: 4533801.0 	Per pixel: 19.6779557292
s_index: 51 	f_index: 1109 	Manhattan norm: 4543398.0 	Per pixel: 19.719609375
s_index: 51 	f_index: 1110 	Manhattan norm: 4496858.0 	Per pixel: 19.5176128472
s_index: 51 	f_index: 1111 	Manhattan norm: 4472231.0 	Per pixel: 19.4107248264
s_index: 51 	f_index: 1112 	Manhattan norm: 4481279.0 	Per pixel: 19.4499956597
s_index: 51 	f_index: 1113 	Manhattan norm: 4505447.0 	Per pixel: 19.5548914931
s_index: 51 	f_index: 1114 	Manhattan norm: 4488980.0 	Per pixel: 19.4834201389
s_index: 51 	f_index: 1115 	Manhattan norm: 4468802.0 	Per pixel: 19.3958420139
s_index: 51 	f_index: 1116 	Manhattan norm: 4428505.0 	Per pixel: 19.2209418403
s_index: 51 	f_index: 1117 	Manhattan norm: 4451012.0 	Per pixel: 19.3186284722
s_index: 51 	f_index: 1118 	Manhattan norm: 4410768.0 	Per pixel: 19.1439583333
s_index: 51 	f_index: 1119 	Manhattan norm: 4333398.0 	Per pixel: 18.8081510417
s_index: 51 	f_index: 1120 	Manhattan norm: 4354894.0 	Per pixel: 18.9014496528
s_index: 51 	f_index: 1121 	Manhattan norm: 4340567.0 	Per pixel: 18.8392664931
s_index: 51 	f_index: 1122 	Manhattan norm: 4345027.0 	Per pixel: 18.8586241319
s_index: 51 	f_index: 1123 	Manhattan norm: 4334362.0 	Per pixel: 18.8123350694
s_index: 51 	f_index: 1124 	Manhattan norm: 4305929.0 	Per pixel: 18.6889279514
s_index: 51 	f_index: 1125 	Manhattan norm: 4304522.0 	Per pixel: 18.6828211806
s_index: 51 	f_index: 1126 	Manhattan norm: 4341268.0 	Per pixel: 18.8423090278
s_index: 51 	f_index: 1127 	Manhattan norm: 4387910.0 	Per pixel: 19.0447482639
s_index: 51 	f_index: 1128 	Manhattan norm: 4410815.0 	Per pixel: 19.1441623264
s_index: 51 	f_index: 1129 	Manhattan norm: 4373495.0 	Per pixel: 18.9821831597
s_index: 51 	f_index: 1130 	Manhattan norm: 4284515.0 	Per pixel: 18.5959852431
s_index: 51 	f_index: 1131 	Manhattan norm: 4274893.0 	Per pixel: 18.5542230903
