/Volumes/FAT32_FORMA/Thesis/short_video/frames/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 51 	f_index: 1095 	Manhattan norm: 4548676.33072 	Per pixel: 19.7425187965
s_index: 51 	f_index: 1096 	Manhattan norm: 4404071.48778 	Per pixel: 19.1148936102
s_index: 51 	f_index: 1097 	Manhattan norm: 4318798.48822 	Per pixel: 18.7447851051
s_index: 51 	f_index: 1098 	Manhattan norm: 4244912.57199 	Per pixel: 18.4240997048
s_index: 51 	f_index: 1099 	Manhattan norm: 4191861.7993 	Per pixel: 18.193844615
s_index: 51 	f_index: 1100 	Manhattan norm: 4212352.8438 	Per pixel: 18.2827814401
s_index: 51 	f_index: 1101 	Manhattan norm: 4233393.68761 	Per pixel: 18.3741045469
s_index: 51 	f_index: 1102 	Manhattan norm: 4223641.94852 	Per pixel: 18.3317792904
s_index: 51 	f_index: 1103 	Manhattan norm: 4202990.64223 	Per pixel: 18.2421468847
s_index: 51 	f_index: 1104 	Manhattan norm: 4277440.2801 	Per pixel: 18.5652789935
s_index: 51 	f_index: 1105 	Manhattan norm: 4337690.89791 	Per pixel: 18.826783411
s_index: 51 	f_index: 1106 	Manhattan norm: 4242425.68499 	Per pixel: 18.4133059244
s_index: 51 	f_index: 1107 	Manhattan norm: 4289668.23822 	Per pixel: 18.6183517284
s_index: 51 	f_index: 1108 	Manhattan norm: 4350062.35602 	Per pixel: 18.8804789758
s_index: 51 	f_index: 1109 	Manhattan norm: 4345052.05475 	Per pixel: 18.8587328765
s_index: 51 	f_index: 1110 	Manhattan norm: 4297044.71115 	Per pixel: 18.6503676699
s_index: 51 	f_index: 1111 	Manhattan norm: 4284121.38803 	Per pixel: 18.5942768578
s_index: 51 	f_index: 1112 	Manhattan norm: 4283877.5796 	Per pixel: 18.5932186614
s_index: 51 	f_index: 1113 	Manhattan norm: 4311940.08874 	Per pixel: 18.7150177463
s_index: 51 	f_index: 1114 	Manhattan norm: 4244197.63743 	Per pixel: 18.4209966903
s_index: 51 	f_index: 1115 	Manhattan norm: 4199209.66361 	Per pixel: 18.2257363872
s_index: 51 	f_index: 1116 	Manhattan norm: 4145555.02618 	Per pixel: 17.9928603567
s_index: 51 	f_index: 1117 	Manhattan norm: 4150798.54712 	Per pixel: 18.0156186941
s_index: 51 	f_index: 1118 	Manhattan norm: 4105574.43063 	Per pixel: 17.8193334663
s_index: 51 	f_index: 1119 	Manhattan norm: 4019211.87173 	Per pixel: 17.444495971
s_index: 51 	f_index: 1120 	Manhattan norm: 4015427.92539 	Per pixel: 17.4280725929
s_index: 51 	f_index: 1121 	Manhattan norm: 4037041.51178 	Per pixel: 17.5218815615
s_index: 51 	f_index: 1122 	Manhattan norm: 4045804.63351 	Per pixel: 17.559915944
s_index: 51 	f_index: 1123 	Manhattan norm: 4057296.32199 	Per pixel: 17.6097930642
s_index: 51 	f_index: 1124 	Manhattan norm: 4077399.60079 	Per pixel: 17.6970468784
s_index: 51 	f_index: 1125 	Manhattan norm: 4079608.15445 	Per pixel: 17.7066326148
s_index: 51 	f_index: 1126 	Manhattan norm: 4071647.41492 	Per pixel: 17.6720807939
s_index: 51 	f_index: 1127 	Manhattan norm: 4140372.91885 	Per pixel: 17.9703685714
s_index: 51 	f_index: 1128 	Manhattan norm: 4187268.88743 	Per pixel: 18.1739101017
s_index: 51 	f_index: 1129 	Manhattan norm: 3985517.15969 	Per pixel: 17.2982515611
s_index: 51 	f_index: 1130 	Manhattan norm: 3885420.64791 	Per pixel: 16.8638048954
s_index: 51 	f_index: 1131 	Manhattan norm: 3719667.31021 	Per pixel: 16.1443893672
s_index: 51 	f_index: 1132 	Manhattan norm: 3879716.22339 	Per pixel: 16.8390461084
s_index: 51 	f_index: 1133 	Manhattan norm: 4255513.21728 	Per pixel: 18.47010945
s_index: 51 	f_index: 1134 	Manhattan norm: 4265253.79145 	Per pixel: 18.5123862476
s_index: 51 	f_index: 1135 	Manhattan norm: 4282178.69372 	Per pixel: 18.5858450248
s_index: 51 	f_index: 1136 	Manhattan norm: 4336450.67539 	Per pixel: 18.8214005008
s_index: 51 	f_index: 1137 	Manhattan norm: 4427333.1178 	Per pixel: 19.215855546
s_index: 51 	f_index: 1138 	Manhattan norm: 4515038.52269 	Per pixel: 19.5965213658
s_index: 51 	f_index: 1139 	Manhattan norm: 4369724.81326 	Per pixel: 18.965819502
s_index: 51 	f_index: 1140 	Manhattan norm: 4299444.83246 	Per pixel: 18.6607848631
s_index: 51 	f_index: 1141 	Manhattan norm: 4127693.73211 	Per pixel: 17.915337379
s_index: 51 	f_index: 1142 	Manhattan norm: 4227662.31588 	Per pixel: 18.3492288016
s_index: 51 	f_index: 1143 	Manhattan norm: 4485966.1815 	Per pixel: 19.4703393294
s_index: 51 	f_index: 1144 	Manhattan norm: 4550409.93286 	Per pixel: 19.7500431114
s_index: 51 	f_index: 1145 	Manhattan norm: 4613107.54189 	Per pixel: 20.0221681506
s_index: 51 	f_index: 1146 	Manhattan norm: 4522447.24346 	Per pixel: 19.6286772719
s_index: 51 	f_index: 1147 	Manhattan norm: 4594561.33072 	Per pixel: 19.9416724423
s_index: 51 	f_index: 1148 	Manhattan norm: 4285999.9214 	Per pixel: 18.6024302144
s_index: 51 	f_index: 1149 	Manhattan norm: 4463652.84031 	Per pixel: 19.3734932305
s_index: 51 	f_index: 1150 	Manhattan norm: 14566977.801 	Per pixel: 63.2247300393
s_index: 51 	f_index: 1151 	Manhattan norm: 14673194.0213 	Per pixel: 63.6857379396
s_index: 51 	f_index: 1152 	Manhattan norm: 14503764.619 	Per pixel: 62.9503672699
s_index: 51 	f_index: 1153 	Manhattan norm: 14217155.2316 	Per pixel: 61.706402915
s_index: 51 	f_index: 1154 	Manhattan norm: 14040129.1099 	Per pixel: 60.938060373
s_index: 51 	f_index: 1155 	Manhattan norm: 13928054.4455 	Per pixel: 60.4516251974
s_index: 51 	f_index: 1156 	Manhattan norm: 13890752.3898 	Per pixel: 60.289723914
s_index: 51 	f_index: 1157 	Manhattan norm: 13707952.0307 	Per pixel: 59.4963195775
s_index: 51 	f_index: 1158 	Manhattan norm: 13973030.2107 	Per pixel: 60.6468325116
s_index: 51 	f_index: 1159 	Manhattan norm: 14566310.4416 	Per pixel: 63.2218335139
s_index: 51 	f_index: 1160 	Manhattan norm: 15178285.1196 	Per pixel: 65.8779736092
s_index: 51 	f_index: 1161 	Manhattan norm: 15550074.0595 	Per pixel: 67.4916408835
s_index: 51 	f_index: 1162 	Manhattan norm: 15272816.5212 	Per pixel: 66.2882661512
s_index: 51 	f_index: 1163 	Manhattan norm: 15753522.1728 	Per pixel: 68.3746622082
s_index: 51 	f_index: 1164 	Manhattan norm: 15519953.1081 	Per pixel: 67.3609075873
s_index: 51 	f_index: 1165 	Manhattan norm: 15438623.5296 	Per pixel: 67.0079146252
s_index: 51 	f_index: 1166 	Manhattan norm: 15151835.3207 	Per pixel: 65.7631741349
s_index: 51 	f_index: 1167 	Manhattan norm: 15764841.8312 	Per pixel: 68.4237926702
s_index: 51 	f_index: 1168 	Manhattan norm: 16697010.3583 	Per pixel: 72.4696630134
s_index: 51 	f_index: 1169 	Manhattan norm: 15985414.7884 	Per pixel: 69.3811405745
s_index: 51 	f_index: 1170 	Manhattan norm: 15335941.0272 	Per pixel: 66.5622440418
s_index: 51 	f_index: 1171 	Manhattan norm: 15014839.6917 	Per pixel: 65.1685750509
s_index: 51 	f_index: 1172 	Manhattan norm: 14330666.8363 	Per pixel: 62.1990748105
s_index: 51 	f_index: 1173 	Manhattan norm: 14201175.3752 	Per pixel: 61.6370458994
s_index: 51 	f_index: 1174 	Manhattan norm: 14167286.9442 	Per pixel: 61.4899606951
s_index: 51 	f_index: 1175 	Manhattan norm: 14395544.038 	Per pixel: 62.480659887
s_index: 51 	f_index: 1176 	Manhattan norm: 14190172.2448 	Per pixel: 61.5892892568
s_index: 51 	f_index: 1177 	Manhattan norm: 14039832.1005 	Per pixel: 60.9367712697
s_index: 51 	f_index: 1178 	Manhattan norm: 14126045.1293 	Per pixel: 61.3109597624
s_index: 51 	f_index: 1179 	Manhattan norm: 14718039.3284 	Per pixel: 63.8803790296
s_index: 51 	f_index: 1180 	Manhattan norm: 4288579.11788 	Per pixel: 18.6136246436
s_index: 51 	f_index: 1181 	Manhattan norm: 4217205.02752 	Per pixel: 18.3038412653
s_index: 51 	f_index: 1182 	Manhattan norm: 4179387.7465 	Per pixel: 18.1397037608
s_index: 51 	f_index: 1183 	Manhattan norm: 4184912.31372 	Per pixel: 18.1636819172
s_index: 51 	f_index: 1184 	Manhattan norm: 4183154.00829 	Per pixel: 18.1560503832
s_index: 51 	f_index: 1185 	Manhattan norm: 4185984.87959 	Per pixel: 18.168337151
s_index: 51 	f_index: 1186 	Manhattan norm: 4180938.08588 	Per pixel: 18.1464326644
s_index: 51 	f_index: 1187 	Manhattan norm: 4197021.15669 	Per pixel: 18.2162376592
s_index: 51 	f_index: 1188 	Manhattan norm: 4241173.83333 	Per pixel: 18.4078725405
s_index: 51 	f_index: 1189 	Manhattan norm: 4219349.94764 	Per pixel: 18.3131508144
